,id,station_name,province,lon,lat,elev,SL50 (kPa),rlon,rlat
193,4664,OAKBANK,MB,-96.85,49.9333,246,2.4,0.0966389221322516,2.4333932656282005
194,4674,PILOT MOUND (AUT),MB,-98.9049,49.191,470,2.1,-1.2453482523306831,1.7062631912498636
195,4787,GIMLI,MB,-97.0167,50.6333,223,1.5,-0.010608356324525762,3.133301139837197
196,4802,HODGSON 2,MB,-97.4651,51.1861,232,4.5,-0.29212404081842136,3.686974162525788
197,4843,DAUPHIN A,MB,-100.05,51.1,304,1.5,-1.9186062210436028,3.637650982133446
198,4859,GILBERT PLAINS,MB,-100.46700000000001,51.1,404,2.2,-2.1807652710283705,3.6486471044256565
199,4939,FLIN FLON A,MB,-101.68299999999999,54.6833,304,1.9,-2.7271258170741155,7.265476171623048
200,4947,THE PAS A,MB,-101.1,53.9667,270,2.6,-2.4262533068727663,6.530706804739108
201,4957,CHURCHILL A,MB,-94.0664,58.7392,29,2.6,1.5517817622508403,11.268490682622877
202,4970,GILLAM A,MB,-94.7106,56.3575,145,3.0,1.2834890209619778,8.876406118523924
203,4976,ISLAND LAKE A,MB,-94.65,53.85,236,2.6,1.3946292957132782,6.37108696084185
204,4988,LYNN LAKE A,MB,-101.07600000000001,56.8639,357,2.6,-2.2572180214763757,9.423099719603844
205,5018,THOMPSON A,MB,-97.8625,55.8033,224,2.4,-0.4898819825218631,8.306018505604065
206,5029,NORWAY HOUSE A,MB,-97.85,53.95,224,2.6,-0.5033945328851623,6.452753004204012
207,5034,BIG TROUT LAKE,ON,-89.8667,53.8333,224,4.2,4.229992367547862,6.527474346337769
208,5044,LANSDOWNE HOUSE,ON,-87.8833,52.2333,254,4.1,5.590602250568889,5.061316046013959
209,5053,PICKLE LAKE A,ON,-90.2142,51.4464,386,1.8,4.234191060809857,4.131289646967927
210,5060,RED LAKE A,ON,-93.7931,51.0669,386,3.3,2.018623133323337,3.6085516827729736
211,5069,ATIKOKAN,ON,-91.6167,48.75,395,2.9,3.547520198421301,1.3728805146422267
212,5099,DRYDEN A,ON,-92.75,49.8333,413,1.9,2.742262906325916,2.408289044403697
213,5110,KENORA A,ON,-94.3653,49.7903,410,3.9,1.7019727769211224,2.3191516259454263
214,5123,SIOUX LOOKOUT A,ON,-91.9,50.1167,383,3.4,3.2714077284853,2.724053173483273
215,5138,ARMSTRONG (AUT),ON,-88.9053,50.2936,322,4.8,5.168523459661336,3.0628319237385395
216,5157,GERALDTON A,ON,-86.9306,49.7828,348,2.9,6.489334819136607,2.703334463357099
217,5224,THUNDER BAY A,ON,-89.3272,48.3694,199,3.5,5.08967868562008,1.1206948848156557
218,5239,WHITEFISH LAKE,ON,-89.9167,48.2833,399,3.8,4.707577833482668,0.9978671020460085
219,5283,SAULT STE MARIE A,ON,-84.5094,46.4833,192,4.3,8.56463998274487,-0.3282026503152139
220,5295,WHITE RIVER,ON,-85.2833,48.6,379,3.1,7.721167762872969,1.6822521533276675
221,5296,WAWA A,ON,-84.7833,47.9667,287,5.2,8.146944438375767,1.1072814606393633
222,5304,CHAPLEAU A,ON,-83.3467,47.82,448,3.1,9.121374066660865,1.1215982693691606
223,5329,SUDBURY A,ON,-80.7978,46.6256,348,3.7,11.04782465123829,0.27785930544065024
224,5346,EARLTON A,ON,-79.85,47.7,243,5.2,11.450362801068342,1.464268420428553
225,5358,KAPUSKASING CDA,ON,-82.4333,49.4,218,3.0,9.431461031270734,2.7844182733983796
226,5359,KAPUSKASING A,ON,-82.4675,49.4139,226,3.8,9.406987093709729,2.7939506024780143
227,5375,MOOSONEE UA,ON,-80.65,51.2667,10,3.5,10.181446848171866,4.838614639714897
228,5393,TIMMINS VICTOR POWER A,ON,-81.3767,48.5697,295,4.3,10.272256140147682,2.1028662985791216
229,5408,DWIGHT,ON,-78.9,45.3833,404,4.1,12.604555155685231,-0.6480473584073168
230,5418,NORTH BAY A,ON,-79.4228,46.3636,370,3.8,12.02855117692835,0.2247059616752298
231,5431,GORE BAY A,ON,-82.5667,45.8833,194,3.7,9.992710779507949,-0.6883970505338951
